,UV1-A,UV2-A,UV3-A,UV4-A,UV5-A,UV6-A,UV7-A,UV8-A,UV9-A,UV10-A,UV11-A,UV12-A,UV13-A,UV14-A,UV15-A,UV16-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A,V8-A,V9-A,V10-A,V11-A,V12-A,V13-A,V14-A,V15-A,V16-A,B1-A,B2-A,B3-A,B4-A,B5-A,B6-A,B7-A,B8-A,B9-A,B10-A,B11-A,B12-A,B13-A,B14-A,YG1-A,YG2-A,YG3-A,YG4-A,YG5-A,YG6-A,YG7-A,YG8-A,YG9-A,YG10-A,R1-A,R2-A,R3-A,R4-A,R5-A,R6-A,R7-A,R8-A
CD45_BUV395,0.069466098,1,0.581483801,0.416498729,0.382090507,0.354331495,0.21457545,0.068845683,0.024701911,0.009749035,0.001824151,0.001154284,0.000611422,0.000922753,0.000940736,0.000649636,0.005290375,0.006621115,0.004353013,0.001796054,0,0,0,0,0,0,0,0,0.000358536,0.000278737,0.000329314,0.000160723,0.003906258,0.002457649,0.005079226,0.002641003,0.00276,0.000890048,0.000908262,0.001106186,0.000414061,0.000551271,0.000410418,0.000267136,0,0.000190638,0,0,0.000348922,0,0,0.000753901,0.000653229,0.000286002,0,0,3.28E-05,0,9.95E-05,0.000363152,0.000569887,0.000126885,0.000153137,0
CD4_BUV496,0.002713336,0.031580992,0.029635229,0.02533229,0.034638961,0.196423921,1,0.553112381,0.269812002,0.064357666,0.016199722,0.006549611,0.004719122,0.003700727,0.002133781,0.001512091,0.000207892,0.002186251,0.008999802,0.058375287,0.208114006,0.163281947,0.168523784,0.065682137,0.034556678,0.02606051,0.006623546,0.002640991,0.001918336,0.001414305,0.000831968,0.00043248,0.059459278,0.037388954,0.027097802,0.006911013,0.00450356,0.00243279,0.00087735,0.000999741,0.000585759,0.000224598,0.000206132,0,9.02E-05,4.34E-05,0,4.45E-06,1.29E-05,0,0,0.000115311,0.000393674,0,7.85E-05,0,3.87E-07,9.56E-05,8.97E-05,4.18E-05,0.000147391,0.000214316,5.03E-06,3.64E-05
CCR4_BUV563,0.001687307,0.021559427,0.020767233,0.01695206,0.017031504,0.017485607,0.014390404,0.290864948,1,0.238001872,0.055231531,0.022540755,0.013867693,0.010508878,0.005996754,0.003397183,0.000368336,0.000587263,0.000414379,0.000170176,2.26E-05,0.000441914,0.017572727,0.066899587,0.031521217,0.027478543,0.006137138,0.002389674,0.001460256,0.000880216,0.000548894,0.000207641,0.000380867,0.003612626,0.087669585,0.159833838,0.089355447,0.059126036,0.019742164,0.012236991,0.009760138,0.004399231,0.002470514,0.001702928,0.001268906,0.000954849,0.374204627,0.147860852,0.104766872,0.035137623,0.021181723,0.015059046,0.012918912,0.004353781,0.002780153,0.001231795,0.000101479,3.25E-05,0.000145409,6.46E-05,6.46E-05,4.57E-05,3.03E-05,1.32E-06
IgD-TCRgd_BUV661,0.001850051,0.021165412,0.021192654,0.017603336,0.01757912,0.018625222,0.01471142,0.005314054,0.001438393,0.045202154,1,0.431288996,0.342989605,0.28970922,0.143262149,0.08530456,0.000742198,0.00102007,0.000579958,0.000606595,0,0.000259104,0.000230047,0.000671977,0.001204107,0.011131184,0.224833908,0.100285374,0.078673802,0.052209468,0.028281087,0.011564032,0.000505565,0.000465669,0.000669727,0.000492485,0.000737092,0.001400933,0.037787904,0.026609219,0.020926351,0.012170848,0.007849671,0.00502099,0.00345655,0.003232871,0.000857742,0.001857208,0.014791114,0.39383837,0.297174219,0.200564279,0.21876541,0.084906568,0.046645247,0.02281827,0.844120627,0.831575429,0.629484478,0.462447172,0.330941972,0.172247306,0.1372531,0.064207494
CD71_BUV737,0.001855794,0.018990565,0.019132169,0.015840638,0.015598858,0.016537452,0.013673112,0.004500767,0.000876114,0.000106627,0.001899939,0.029869626,0.388723503,1,0.464636864,0.35576983,0.000487293,0.000473372,0.000130397,0.000600375,0,0,0,0.000289321,0.000182353,0,0.000212236,0.005713061,0.093501127,0.191719664,0.100286237,0.051890585,0,0.000171693,4.77E-06,0,0.000132805,0,0.000256806,0.001361438,0.014875666,0.091976144,0.197041314,0.151093598,0.088731213,0.110543943,0,0,0.000138948,6.19E-05,0.000603145,0.004198513,0.04501537,0.048292403,0.025109507,0.015788234,0.000185731,0.00452265,0.029945986,0.201078944,0.523265417,0.321225103,0.236387005,0.140532943
CD8_BUV805,0.006772844,0.080189871,0.083224033,0.06877522,0.069038789,0.071698211,0.057482982,0.021996126,0.013729314,0.005763537,0.002564487,0.00241459,0.005945912,0.06193492,0.474822316,1,0.003232776,0.004022233,0.002495786,0.002475798,0.000568361,0.001071764,0.001104243,0.001467741,0.001029291,0.000198614,0,0,0.000874399,0.006119543,0.058031354,0.085342579,0.00084075,0.000819158,0.002237503,0.001520908,0.002306328,0.001464228,0.000551953,0.000376516,0,0.000646419,0.001333325,0.005365686,0.018119987,0.042465307,0.000745068,0.001643981,0.002119503,0.00102733,0.000968843,0.001116331,0.001916071,0.003270163,0.016339369,0.029269988,0.000331881,0.001198663,0.001100192,0.003516968,0.010013573,0.030813896,0.149278481,0.19982167
CD2_PB,0.001827795,3.34E-05,0.004190555,0.014388314,0.02359416,0.031828152,0.045179981,0.008445746,0.002213423,0,0.000285314,0.002630242,0,0,0.001645016,0,0.10509597,0.624773749,1,0.641890374,0.3164203,0.182204421,0.147300213,0.045445228,0.022655741,0.013420918,0.003575344,0,0.00129506,0.000876004,0.001511275,0,0.000662239,0.000313057,0,0,0.001570104,0,0.000154121,0.000481627,0,0,0.001338923,9.63E-06,0.000334731,0.000238406,0,0.000145206,0,0,0,0.001989757,0.000215538,0.001418014,0.00036528,3.18E-05,0,0.000652963,0,0.000605238,0.001247355,0.000846032,0.000557513,0
CD19_BV510,0.000500966,0.00050247,0.000580699,0.002254097,0.011862215,0.063435144,0.341363001,0.301055032,0.246539997,0.083568064,0.031877288,0.015358446,0.010970605,0.010277076,0.006710639,0.00431563,0.001834367,0.020358076,0.098595539,0.253424637,0.6979676,0.738713845,1,0.672728727,0.423443218,0.386430892,0.139533348,0.062838395,0.04672123,0.034181533,0.023879885,0.009832274,0.002238569,0.001682719,0.00203595,0.000510884,0.000756303,0.000284426,0.000214539,0.000602983,0,8.51E-05,0.000353772,0,0.000177157,0,0.000111783,0.000330754,0.000248065,0.000145981,0.000207742,0.000452234,6.13E-05,0.000124033,0.000161804,0,0,0.000110784,0,0.000129817,0.000439232,0.000156659,0,0
CD3_BV570,0.00011282,0,0.004702836,0.00333457,0.003729017,0.003019011,0.007050863,0.01110816,0.218038062,0.071927784,0.024010423,0.011618823,0.006631814,0.005815773,0.003541548,0.001780529,0.095955173,0.090718776,0.09427219,0.037425895,0.014993261,0.010391369,0.032872352,1,0.50264366,0.538120225,0.160838034,0.072217892,0.044623507,0.030188411,0.019289774,0.006935497,0.000121887,3.76E-05,0.004155139,0.079480092,0.045742271,0.036962774,0.016284222,0.011814744,0.009232216,0.004290772,0.002896867,0.001734821,0.00164501,0.001098812,0.395957926,0.172027492,0.149575038,0.063568638,0.043234169,0.031953549,0.027495699,0.010923161,0.006892704,0.003204162,0,0,0,0.00029885,0.000477995,0.000105671,0,0
CD11b_BV605,0,0,0.002009431,0.00138709,0.001602516,0.001222679,0.003449229,0.000508704,0.059170247,0.168399021,0.091039217,0.03641854,0.029179175,0.027289908,0.014973895,0.00964338,0.045262112,0.042247849,0.0442522,0.017649914,0.006966638,0.004525873,0.003838736,0.161771117,0.751683653,1,0.492076909,0.194873653,0.155777405,0.113265777,0.068051535,0.029506544,3.89E-05,0,0,0.006322287,0.032414389,0.035489856,0.025748613,0.016525607,0.012771782,0.0072979,0.005149723,0.003335108,0.002725709,0.002273819,0.051510092,0.262768966,0.296430366,0.199230626,0.129489907,0.086035797,0.096224216,0.04126138,0.024869836,0.013279893,0.001241461,0.001134633,0.000768971,0.00067885,0.000719087,0.00038778,0.000242833,5.20E-05
