,UV1-A,UV2-A,UV3-A,UV4-A,UV5-A,UV6-A,UV7-A,UV8-A,UV9-A,UV10-A,UV11-A,UV12-A,UV13-A,UV14-A,UV15-A,UV16-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A,V8-A,V9-A,V10-A,V11-A,V12-A,V13-A,V14-A,V15-A,V16-A,B1-A,B2-A,B3-A,B4-A,B5-A,B6-A,B7-A,B8-A,B9-A,B10-A,B11-A,B12-A,B13-A,B14-A,YG1-A,YG2-A,YG3-A,YG4-A,YG5-A,YG6-A,YG7-A,YG8-A,YG9-A,YG10-A,R1-A,R2-A,R3-A,R4-A,R5-A,R6-A,R7-A,R8-A
CD45_BUV395,0.069466098,1,0.581483801,0.416498729,0.382090507,0.354331495,0.21457545,0.068845683,0.024701911,0.009749035,0.001824151,0.001154284,0.000611422,0.000922753,0.000940736,0.000649636,0.005290375,0.006621115,0.004353013,0.001796054,0,0,0,0,0,0,0,0,0.000358536,0.000278737,0.000329314,0.000160723,0.003906258,0.002457649,0.005079226,0.002641003,0.00276,0.000890048,0.000908262,0.001106186,0.000414061,0.000551271,0.000410418,0.000267136,0,0.000190638,0,0,0.000348922,0,0,0.000753901,0.000653229,0.000286002,0,0,3.28E-05,0,9.95E-05,0.000363152,0.000569887,0.000126885,0.000153137,0
CD4_BUV496,0.002713336,0.031580992,0.029635229,0.02533229,0.034638961,0.196423921,1,0.553112381,0.269812002,0.064357666,0.016199722,0.006549611,0.004719122,0.003700727,0.002133781,0.001512091,0.000207892,0.002186251,0.008999802,0.058375287,0.208114006,0.163281947,0.168523784,0.065682137,0.034556678,0.02606051,0.006623546,0.002640991,0.001918336,0.001414305,0.000831968,0.00043248,0.059459278,0.037388954,0.027097802,0.006911013,0.00450356,0.00243279,0.00087735,0.000999741,0.000585759,0.000224598,0.000206132,0,9.02E-05,4.34E-05,0,4.45E-06,1.29E-05,0,0,0.000115311,0.000393674,0,7.85E-05,0,3.87E-07,9.56E-05,8.97E-05,4.18E-05,0.000147391,0.000214316,5.03E-06,3.64E-05
CD16_BUV563,0.001728572,0.020957343,0.020111496,0.016531217,0.016371414,0.016890664,0.014008935,0.291190174,1,0.236908227,0.05505107,0.022352536,0.013618119,0.010436284,0.005843997,0.003300733,0.000337405,0.000751959,0.000705756,0.000517343,2.06E-05,0.000689224,0.018446507,0.069366678,0.032814888,0.028544112,0.00642047,0.002629947,0.001522779,0.00093147,0.000653619,0.000266831,0.000443743,0.003935298,0.089489741,0.16200666,0.090546891,0.059761946,0.019567272,0.012248035,0.009868813,0.004322256,0.00247287,0.001678117,0.001250631,0.000994185,0.378105107,0.149065222,0.105622221,0.035253283,0.020873386,0.014835722,0.012552939,0.004239394,0.002621038,0.001179144,0,8.00E-05,0.00012417,0.000129945,1.32E-05,2.25E-05,2.21E-05,0
CD34_BUV615,0.002132361,0.026130589,0.025514506,0.020428509,0.020228411,0.021324628,0.016040062,0.007062045,0.183140197,1,0.413541596,0.215441796,0.12800735,0.112794165,0.063969307,0.032638162,0.000353864,0.000513232,0.0005336,0.000103361,0,0,0,0.015005957,0.094005661,0.272482967,0.089980755,0.047098296,0.027641265,0.018738607,0.012163318,0.004169,0.000492867,0.000140269,0.000553926,0.005579955,0.029597855,0.064275645,0.031047301,0.024215376,0.020392358,0.008936509,0.005253211,0.004419298,0.002759173,0.002262456,0.073348711,0.395124587,0.87936208,0.393933637,0.313534636,0.233966899,0.190306763,0.077557952,0.049432421,0.020701573,0.007723199,0.008805418,0.007770769,0.004658399,0.003051917,0.001883478,0.001513323,0.000481647
IgD-TCRgd_BUV661,0.001850051,0.021165412,0.021192654,0.017603336,0.01757912,0.018625222,0.01471142,0.005314054,0.001438393,0.045202154,1,0.431288996,0.342989605,0.28970922,0.143262149,0.08530456,0.000742198,0.00102007,0.000579958,0.000606595,0,0.000259104,0.000230047,0.000671977,0.001204107,0.011131184,0.224833908,0.100285374,0.078673802,0.052209468,0.028281087,0.011564032,0.000505565,0.000465669,0.000669727,0.000492485,0.000737092,0.001400933,0.037787904,0.026609219,0.020926351,0.012170848,0.007849671,0.00502099,0.00345655,0.003232871,0.000857742,0.001857208,0.014791114,0.39383837,0.297174219,0.200564279,0.21876541,0.084906568,0.046645247,0.02281827,0.844120627,0.831575429,0.629484478,0.462447172,0.330941972,0.172247306,0.1372531,0.064207494
CD56_BUV737,0.003264182,0.034853765,0.019787826,0.014171596,0.012868073,0.012266532,0.009746587,0.00330495,0.001193446,0.000386572,0.002498079,0.033595088,0.388587705,1,0.481510694,0.36955822,0.000349878,6.60E-05,1.93E-05,0.000201626,0,0,0,0.000231647,0.000193842,0,0.000200513,0.006907893,0.104668408,0.22262074,0.120984498,0.062444568,0.000314729,0.000275888,0.000521345,0.000310724,0.00035437,0.000116522,0.00021102,0.001500367,0.015313589,0.089762919,0.193151662,0.154655877,0.091203226,0.114036262,6.30E-05,0.000113176,6.83E-05,8.87E-05,0.000754507,0.005655783,0.054382962,0.059350633,0.031882815,0.020154007,0.000241674,0.005713962,0.036653261,0.227182042,0.576016554,0.369276137,0.274542899,0.165312826
CD8_BUV805,0.006772844,0.080189871,0.083224033,0.06877522,0.069038789,0.071698211,0.057482982,0.021996126,0.013729314,0.005763537,0.002564487,0.00241459,0.005945912,0.06193492,0.474822316,1,0.003232776,0.004022233,0.002495786,0.002475798,0.000568361,0.001071764,0.001104243,0.001467741,0.001029291,0.000198614,0,0,0.000874399,0.006119543,0.058031354,0.085342579,0.00084075,0.000819158,0.002237503,0.001520908,0.002306328,0.001464228,0.000551953,0.000376516,0,0.000646419,0.001333325,0.005365686,0.018119987,0.042465307,0.000745068,0.001643981,0.002119503,0.00102733,0.000968843,0.001116331,0.001916071,0.003270163,0.016339369,0.029269988,0.000331881,0.001198663,0.001100192,0.003516968,0.010013573,0.030813896,0.149278481,0.19982167
CD2_PB,0.001827795,3.34E-05,0.004190555,0.014388314,0.02359416,0.031828152,0.045179981,0.008445746,0.002213423,0,0.000285314,0.002630242,0,0,0.001645016,0,0.10509597,0.624773749,1,0.641890374,0.3164203,0.182204421,0.147300213,0.045445228,0.022655741,0.013420918,0.003575344,0,0.00129506,0.000876004,0.001511275,0,0.000662239,0.000313057,0,0,0.001570104,0,0.000154121,0.000481627,0,0,0.001338923,9.63E-06,0.000334731,0.000238406,0,0.000145206,0,0,0,0.001989757,0.000215538,0.001418014,0.00036528,3.18E-05,0,0.000652963,0,0.000605238,0.001247355,0.000846032,0.000557513,0
CD19_BV510,0.000500966,0.00050247,0.000580699,0.002254097,0.011862215,0.063435144,0.341363001,0.301055032,0.246539997,0.083568064,0.031877288,0.015358446,0.010970605,0.010277076,0.006710639,0.00431563,0.001834367,0.020358076,0.098595539,0.253424637,0.6979676,0.738713845,1,0.672728727,0.423443218,0.386430892,0.139533348,0.062838395,0.04672123,0.034181533,0.023879885,0.009832274,0.002238569,0.001682719,0.00203595,0.000510884,0.000756303,0.000284426,0.000214539,0.000602983,0,8.51E-05,0.000353772,0,0.000177157,0,0.000111783,0.000330754,0.000248065,0.000145981,0.000207742,0.000452234,6.13E-05,0.000124033,0.000161804,0,0,0.000110784,0,0.000129817,0.000439232,0.000156659,0,0
CD3_BV570,0.00011282,0,0.004702836,0.00333457,0.003729017,0.003019011,0.007050863,0.01110816,0.218038062,0.071927784,0.024010423,0.011618823,0.006631814,0.005815773,0.003541548,0.001780529,0.095955173,0.090718776,0.09427219,0.037425895,0.014993261,0.010391369,0.032872352,1,0.50264366,0.538120225,0.160838034,0.072217892,0.044623507,0.030188411,0.019289774,0.006935497,0.000121887,3.76E-05,0.004155139,0.079480092,0.045742271,0.036962774,0.016284222,0.011814744,0.009232216,0.004290772,0.002896867,0.001734821,0.00164501,0.001098812,0.395957926,0.172027492,0.149575038,0.063568638,0.043234169,0.031953549,0.027495699,0.010923161,0.006892704,0.003204162,0,0,0,0.00029885,0.000477995,0.000105671,0,0
