"","eomgCtrlP","lomgCtrlP","eomgLomgP"
"B_EOMGhigh_1",0.0138462033286167,1,0.000630353763447925
"B_EOMGhigh_2",0.00349043482553195,1,0.00584208953833225
"B_EOMGhigh_3",0.000868462988734477,1,0.0167156218801573
"B_EOMGlow_1",0.000868462988734477,1,0.000338658701120149
"B_EOMGlow_2",0.00106808012335097,1,0.000147502109438469
"B_LOMGhigh_1",1,0.0852569184297486,0.0547293486940558
"B_LOMGhigh_2",1,0.510511835513376,0.439007848735906
"B_LOMGlow_1",1,3.45738657911892e-05,0.000995305605049869
"B_LOMGlow_2",1,5.357784957163e-05,0.0011527061697527
"B_LOMGlow_3",1,0.000124653083098549,4.3394667999631e-05
"CD4T_EOMGhigh_1",0.257256464174736,1,0.000716648817880199
"CD4T_EOMGhigh_2",0.113209006653842,1,0.00353848993016885
"CD4T_EOMGhigh_3",0.00349043482553195,1,0.0378629571016853
"CD4T_EOMGlow_1",0.0161935868127798,1,0.00661181937882709
"CD4T_EOMGlow_2",0.00238782031099556,1,0.000995305605049869
"CD4T_EOMGlow_3",0.000362499680615232,1,0.000288232305653836
"CD4T_EOMGlow_4",0.0253774027569315,1,0.0281606264185512
"CD4T_LOMGhigh_1",1,0.047866574334244,0.029122090863324
"CD4T_LOMGhigh_2",1,6.6432786368216e-05,3.61347849896291e-05
"CD4T_LOMGlow_1",1,0.000594857252053812,0.00306443124715756
"CD4T_LOMGlow_2",1,8.21549314133749e-05,0.000738066099378732
"CD4T_LOMGlow_3",1,1.39466225021175e-05,2.0635538190578e-05
"CD8T_EOMGhigh_1",0.138893533452651,1,0.221414206729219
"CD8T_EOMGhigh_2",0.000112112325448812,1,0.000288232305653836
"CD8T_EOMGlow_1",0.00131554809873697,1,0.000207655369499876
"CD8T_EOMGlow_2",0.000181236639082435,1,0.000175776787287907
"CD8T_EOMGlow_3",8.7696983406272e-05,1,5.20178273524903e-05
"CD8T_LOMGhigh_1",1,0.00172168992452432,0.00948473980409763
"CD8T_LOMGhigh_2",1,0.000594857252053812,0.000738066099378732
"CD8T_LOMGhigh_3",1,0.000594857252053812,0.00039718811007476
"CD8T_LOMGhigh_4",1,0.178136864031389,0.151079474248875
"CD8T_LOMGlow_1",1,0.000124653083098549,0.000995305605049869
"CD8T_LOMGlow_2",1,4.30963843428018e-05,8.86209416646013e-05
"CD8T_LOMGlow_3",1,8.21549314133749e-05,0.000125265149525464
"TCRgd_EOMGhigh_1",0.257412457508002,1,0.00573938561169149
"TCRgd_EOMGhigh_2",0.0253774027569315,1,0.000307686609109607
"TCRgd_EOMGhigh_3",0.0253774027569315,1,0.00266788037483628
"TCRgd_EOMGlow_1",0.287896524336586,1,0.119066516233123
"TCRgd_EOMGlow_2",0.291144432713462,1,0.238106957829521
"TCRgd_EOMGlow_3",0.0201019566462196,1,0.00445226165677417
"TCRgd_EOMGlow_4",0.00277275699485066,1,0.027102111032484
"TCRgd_EOMGlow_5",0.053777247501767,1,0.00682166208504805
"TCRgd_LOMGhigh_1",1,0.0229876928160456,0.0589637653319475
"TCRgd_LOMGhigh_2",1,0.0271124508369828,0.0240878491891595
"TCRgd_LOMGhigh_3",1,0.0153376608811699,0.0176370153836586
"TCRgd_LOMGlow_1",1,0.000101330469365146,0.0011527061697527
"TCRgd_LOMGlow_2",1,0.00145157253189446,0.000105457878756742
"TCRgd_LOMGlow_3",1,6.62569900426554e-05,0.0020279503654455
"TCRgd_LOMGlow_4",1,0.00388870012084593,0.00661181937882709
"NK_EOMGhigh_1",0.804001537870505,1,0.279457435167605
"NK_EOMGhigh_2",0.805990310362611,1,0.563242236696696
"NK_EOMGhigh_3",0.101801008925182,1,0.0074451577056666
"NK_EOMGhigh_4",0.887885268296711,1,0.351763777558849
"NK_EOMGlow_1",8.7696983406272e-05,1,0.000633861110678492
"NK_EOMGlow_2",0.00847781081785033,1,0.0186250286089199
"NK_EOMGlow_3",0.000453437422464828,1,0.000543389465093055
"NK_LOMGhigh_1",1,0.00240344640732387,0.00085785855950486
"NK_LOMGhigh_2",1,0.17313385563142,0.779149203851344
"NK_LOMGlow_1",1,0.00824107000798394,0.25530937638712
"NK_LOMGlow_2",1,0.000187156123554301,0.00584208953833225
"NK_LOMGlow_3",1,0.000124653083098549,0.00515292476591245
"ILC_EOMGhigh_EOMGhigh",0.0017322023120106,1,0.000121802883293259
"ILC_EOMGlow_EOMGlow",0.0391237122357701,1,0.180331476048327
"ILC_LOMGlow_1",1,0.00278792028425038,0.000718298809434834
"ILC_LOMGlow_2",1,0.0805364560937004,0.00040804421817857
"ILC_LOMGlow_3",1,0.00117924223417177,0.0016594788069678
