"Population","variable","value","maxVals","minVals","numVariable"
"focus","KLRG1",349,NA,NA,2.5
"focus","KLRG1",295,NA,NA,2.500100010001
"focus","KLRG1",318,NA,NA,2.500200020002
"focus","KLRG1",420,NA,NA,2.500300030003
"focus","KLRG1",325,NA,NA,2.500400040004
"focus","KLRG1",348,NA,NA,2.500500050005
"focus","KLRG1",318,NA,NA,2.500600060006
"focus","KLRG1",339,NA,NA,2.500700070007
"focus","KLRG1",273,NA,NA,2.500800080008
"focus","KLRG1",332,NA,NA,2.500900090009
"focus","KLRG1",357,NA,NA,2.50100010001
"focus","KLRG1",328,NA,NA,2.501100110011
"focus","KLRG1",320,NA,NA,2.501200120012
"focus","KLRG1",290,NA,NA,2.501300130013
"focus","KLRG1",326,NA,NA,2.501400140014
"focus","KLRG1",335,NA,NA,2.501500150015
"focus","KLRG1",307,NA,NA,2.501600160016
"focus","KLRG1",284,NA,NA,2.501700170017
"focus","KLRG1",343,NA,NA,2.501800180018
"focus","KLRG1",408,NA,NA,2.501900190019
"focus","KLRG1",303,NA,NA,2.50200020002
"focus","KLRG1",316,NA,NA,2.502100210021
"focus","KLRG1",327,NA,NA,2.502200220022
"focus","KLRG1",314,NA,NA,2.502300230023
"focus","KLRG1",319,NA,NA,2.502400240024
"focus","KLRG1",318,NA,NA,2.502500250025
"focus","KLRG1",335,NA,NA,2.502600260026
"focus","KLRG1",360,NA,NA,2.502700270027
"focus","KLRG1",329,NA,NA,2.502800280028
"focus","KLRG1",292,NA,NA,2.502900290029
"focus","KLRG1",381,NA,NA,2.50300030003
"focus","KLRG1",307,NA,NA,2.503100310031
"focus","KLRG1",361,NA,NA,2.503200320032
"focus","KLRG1",285,NA,NA,2.503300330033
"focus","KLRG1",335,NA,NA,2.503400340034
"focus","KLRG1",318,NA,NA,2.503500350035
"focus","KLRG1",264,NA,NA,2.503600360036
"focus","KLRG1",295,NA,NA,2.503700370037
"focus","KLRG1",328,NA,NA,2.503800380038
"focus","KLRG1",370,NA,NA,2.503900390039
"focus","KLRG1",320,NA,NA,2.50400040004
"focus","KLRG1",329,NA,NA,2.504100410041
"focus","KLRG1",321,NA,NA,2.504200420042
"focus","KLRG1",341,NA,NA,2.504300430043
"focus","KLRG1",349,NA,NA,2.504400440044
"focus","KLRG1",340,NA,NA,2.504500450045
"focus","KLRG1",346,NA,NA,2.504600460046
"focus","KLRG1",280,NA,NA,2.504700470047
"focus","KLRG1",379,NA,NA,2.504800480048
"focus","KLRG1",368,NA,NA,2.504900490049
"focus","KLRG1",289,NA,NA,2.50500050005
"focus","KLRG1",352,NA,NA,2.505100510051
"focus","KLRG1",301,NA,NA,2.50520052005201
"focus","KLRG1",290,NA,NA,2.505300530053
"focus","KLRG1",335,NA,NA,2.50540054005401
"focus","KLRG1",312,NA,NA,2.50550055005501
"focus","KLRG1",310,NA,NA,2.50560056005601
"focus","KLRG1",313,NA,NA,2.50570057005701
"focus","KLRG1",315,NA,NA,2.50580058005801
"focus","KLRG1",299,NA,NA,2.50590059005901
"focus","KLRG1",317,NA,NA,2.50600060006001
"focus","KLRG1",293,NA,NA,2.50610061006101
"focus","KLRG1",332,NA,NA,2.50620062006201
"focus","KLRG1",319,NA,NA,2.50630063006301
"focus","KLRG1",348,NA,NA,2.50640064006401
"focus","KLRG1",291,NA,NA,2.50650065006501
"focus","KLRG1",316,NA,NA,2.50660066006601
"focus","KLRG1",310,NA,NA,2.50670067006701
"focus","KLRG1",298,NA,NA,2.50680068006801
"focus","KLRG1",285,NA,NA,2.50690069006901
"focus","KLRG1",298,NA,NA,2.50700070007001
"focus","KLRG1",308,NA,NA,2.50710071007101
"focus","KLRG1",324,NA,NA,2.50720072007201
"focus","KLRG1",322,NA,NA,2.50730073007301
"focus","KLRG1",334,NA,NA,2.50740074007401
"focus","KLRG1",312,NA,NA,2.50750075007501
"focus","KLRG1",294,NA,NA,2.50760076007601
"focus","KLRG1",311,NA,NA,2.50770077007701
"focus","KLRG1",344,NA,NA,2.50780078007801
"focus","KLRG1",373,NA,NA,2.50790079007901
"focus","KLRG1",301,NA,NA,2.50800080008001
"focus","KLRG1",289,NA,NA,2.50810081008101
"focus","KLRG1",290,NA,NA,2.50820082008201
"focus","KLRG1",361,NA,NA,2.50830083008301
"focus","KLRG1",356,NA,NA,2.50840084008401
"focus","KLRG1",327,NA,NA,2.50850085008501
"focus","KLRG1",273,NA,NA,2.50860086008601
"focus","KLRG1",344,NA,NA,2.50870087008701
"focus","KLRG1",324,NA,NA,2.50880088008801
"focus","KLRG1",297,NA,NA,2.50890089008901
"focus","KLRG1",306,NA,NA,2.50900090009001
"focus","KLRG1",303,NA,NA,2.50910091009101
"focus","KLRG1",317,NA,NA,2.50920092009201
"focus","KLRG1",344,NA,NA,2.50930093009301
"focus","KLRG1",271,NA,NA,2.50940094009401
"focus","KLRG1",287,NA,NA,2.50950095009501
"focus","KLRG1",318,NA,NA,2.50960096009601
"focus","KLRG1",299,NA,NA,2.50970097009701
"focus","KLRG1",334,NA,NA,2.50980098009801
"focus","KLRG1",333,NA,NA,2.50990099009901
"focus","KLRG1",329,NA,NA,2.51000100010001
"focus","KLRG1",316,NA,NA,2.51010101010101
"focus","KLRG1",345,NA,NA,2.51020102010201
"focus","KLRG1",300,NA,NA,2.51030103010301
"focus","KLRG1",334,NA,NA,2.51040104010401
"focus","KLRG1",356,NA,NA,2.51050105010501
"focus","KLRG1",267,NA,NA,2.51060106010601
"focus","KLRG1",317,NA,NA,2.51070107010701
"focus","KLRG1",330,NA,NA,2.51080108010801
"focus","KLRG1",303,NA,NA,2.51090109010901
"focus","KLRG1",329,NA,NA,2.51100110011001
"focus","KLRG1",331,NA,NA,2.51110111011101
"focus","KLRG1",272,NA,NA,2.51120112011201
"focus","KLRG1",325,NA,NA,2.51130113011301
"focus","KLRG1",316,NA,NA,2.51140114011401
"focus","KLRG1",315,NA,NA,2.51150115011501
"focus","KLRG1",267,NA,NA,2.51160116011601
"focus","KLRG1",311,NA,NA,2.51170117011701
"focus","KLRG1",284,NA,NA,2.51180118011801
"focus","KLRG1",337,NA,NA,2.51190119011901
"focus","KLRG1",363,NA,NA,2.51200120012001
"focus","KLRG1",326,NA,NA,2.51210121012101
"focus","KLRG1",281,NA,NA,2.51220122012201
"focus","KLRG1",284,NA,NA,2.51230123012301
"focus","KLRG1",297,NA,NA,2.51240124012401
"focus","KLRG1",331,NA,NA,2.51250125012501
"focus","KLRG1",319,NA,NA,2.51260126012601
"focus","KLRG1",311,NA,NA,2.51270127012701
"focus","KLRG1",311,NA,NA,2.51280128012801
"focus","KLRG1",284,NA,NA,2.51290129012901
"focus","KLRG1",348,NA,NA,2.51300130013001
"focus","KLRG1",319,NA,NA,2.51310131013101
"focus","KLRG1",225,NA,NA,2.51320132013201
"focus","KLRG1",312,NA,NA,2.51330133013301
"focus","KLRG1",332,NA,NA,2.51340134013401
"focus","KLRG1",301,NA,NA,2.51350135013501
"focus","KLRG1",298,NA,NA,2.51360136013601
"focus","KLRG1",279,NA,NA,2.51370137013701
"focus","KLRG1",266,NA,NA,2.51380138013801
"focus","KLRG1",297,NA,NA,2.51390139013901
"focus","KLRG1",308,NA,NA,2.51400140014001
"focus","KLRG1",328,NA,NA,2.51410141014101
"focus","KLRG1",298,NA,NA,2.51420142014201
"focus","KLRG1",312,NA,NA,2.51430143014301
"focus","KLRG1",305,NA,NA,2.51440144014401
"focus","KLRG1",363,NA,NA,2.51450145014501
