"","logFC","logCPM","F","PValue","Group"
"CD99",-1.81156559827029,9.39507478413461,172.954299070962,6.35711670281222e-15,"Down"
"MAD1L1",0.162634234408854,7.15421171418138,1.83341411282026,0.18381155527461,"None"
"M6PR",-0.0979459180630022,7.89701590107156,1.12508653226057,0.295595269334339,"None"
"ARF5",-0.242471079197158,7.96505176266494,10.410427658886,0.00259764518151805,"Down"
"NDUFAB1",-0.155394012653919,7.50639114148289,3.38194343828159,0.0738257099878188,"None"
"SLC25A5",0.00885389695742855,8.77733603635454,0.00567121953715686,0.940385268739241,"None"
"POLR2J",-0.166553573924497,7.27153543986763,2.79336352770673,0.102963400128842,"None"
"MSL3",0.62487598324979,6.85744835199232,25.9230372487353,1.02400258143159e-05,"Up"
"KMT2E",-0.171188209178904,8.39117454560531,4.32701031992905,0.0443840410333672,"None"
"MYCBP2",0.236791732302801,8.20414141650364,8.92529253880521,0.0049320942178737,"Up"
"PAFAH1B1",-0.229167392270791,7.51666391346495,7.54911996596401,0.00916831326711647,"Down"
"TRAPPC6A",0.288400852497918,7.13214802573395,8.30380614006721,0.00650420784166732,"Up"
"PSMB1",-0.14624502240276,8.32855734119127,4.68075208507399,0.0369289915977858,"None"
"ST3GAL1",0.440473362806111,7.45025579898464,24.4308438525634,1.62638635804664e-05,"Up"
"IL32",-0.825706897600347,11.6622029209659,40.3934461808576,3.19963652450016e-07,"Down"
"SEC62",0.271513060101196,8.73414167620305,11.7056013851051,0.00151635477145673,"Up"
"CSDE1",0.250029369465803,8.9203272148036,14.5770424652641,0.000488255114033245,"Up"
"TRAF3IP3",0.385485526580603,9.24569056616567,14.492080765433,0.000504355247769175,"Up"
"BAZ1B",-0.145389443099895,7.01632174959118,3.34040431769177,0.114209090440999,"None"
"ZNF207",-0.211099811428898,7.49684998604917,6.201929662967,0.0173023443458174,"Down"
"IDS",-0.613088026642418,7.85075984624468,20.1499513024782,7.03074382338862e-05,"Down"
"FYN",-0.989488873624175,9.09759286355173,125.370654433987,1.56300508877676e-13,"Down"
"HIVEP2",0.507383645678249,7.13285916120011,15.7120312435656,0.000318399958594723,"Up"
"RNF216",0.449392294704112,7.53694628587766,29.9843699959946,3.07703444610117e-06,"Up"
"TTC19",0.277333834348065,6.99758027142929,7.07647234430407,0.0114174794312207,"Up"
"PTBP1",0.143151738343773,7.249009348539,2.92861626056681,0.0952650455169441,"None"
"MVP",0.135290488779361,7.31057851004231,1.66400341537449,0.204945203787896,"None"
"NUB1",-0.168487013783034,7.36821568061433,4.1004898782325,0.0500180946376124,"None"
"CD6",0.192480819380413,8.20930569086649,4.51301521062817,0.0402773135318155,"None"
"UFL1",0.2171493799851,6.92478837122288,5.04182761693736,0.0307070615576044,"None"
"MDH1",-0.200051782816398,7.42065209615388,3.81359653444673,0.0583153355959398,"None"
"CCDC88C",-0.191909539101655,7.93225461049404,6.21305814950537,0.0172096035589703,"Down"
"ZMYND11",-0.0152144720877101,6.88715659583108,0.0230663791284673,0.880096991812285,"None"
"WAS",-0.127025061364972,8.39289152160577,4.30127448685088,0.0449875655049977,"None"
"MATR3",0.0456142300439172,7.76810782181985,0.173057655158946,0.679774642859177,"None"
"CD74",-1.45102445702125,10.3982669027675,160.738105408718,9.1417800422374e-15,"Down"
"RUNX3",-1.02391822609732,8.36335991999546,61.3323579588179,2.84579082643015e-09,"Down"
"SERPINB1",-0.0642221545875638,7.75044929025193,0.451937187179864,0.505528837523382,"None"
"RNH1",-0.0265852455233703,7.41872218718584,0.0667805411239058,0.797493380515861,"None"
"STRAP",0.063704338724718,7.37778061120436,0.294935603289131,0.590281702600575,"None"
"DEF6",0.203395150694974,7.90733790644398,3.72438483920989,0.0611973521674179,"None"
"PHF20",0.154171860338569,7.64376245667295,2.43611195426151,0.126952343675731,"None"
"VIM",-0.00595329259281062,11.2598402403068,0.00431752095587649,0.947958730856693,"None"
"CD44",0.0550423190276109,8.88282670495963,0.421665125198843,0.5200565746823,"None"
"PRKCH",-0.238687794306588,8.9549390757519,13.2170041548074,0.000827068008527566,"Down"
"BCLAF1",0.0229653218713477,8.48879982588921,0.0844782108163277,0.843671824584436,"None"
"SARS1",0.0086946720811079,7.18853883306278,0.00853451554576366,0.926884906712005,"None"
"PIAS1",0.139777071899033,7.51971476044617,2.14561663604387,0.151293810192092,"None"
"TMSB10",0.28175625105364,13.0996414853606,24.9159705909042,1.39744136915394e-05,"Up"
"GABARAPL2",-0.180975816455787,7.69632674377774,5.79156105626747,0.0211292121225144,"Down"
"CUL3",-0.238286189376366,7.23113188104055,5.94680047635187,0.0195835416497644,"Down"
"BOD1L1",-0.0884088434010061,7.6598368544475,1.04020229234266,0.644241006974333,"None"
"MAT2B",-0.0163696958768588,8.07171664557248,0.0303775765862978,0.862571799744816,"None"
"INPP4A",-0.0568707657374055,7.21309652677778,0.187325426080837,0.667625835465221,"None"
"LCP2",-0.0168296238126255,8.90749144513338,0.0617896008909218,0.805042837734494,"None"
"HSPA5",-0.774955573123391,8.49537831483621,47.9805595822509,3.27255002651383e-08,"Down"
"TPR",-0.0908769889568913,8.03814768425297,0.848243818169878,0.362924331081673,"None"
"ZNF800",0.046467274577976,7.40876417996859,0.291231347052253,0.592615951314321,"None"
"RSF1",-0.0491486850642903,7.66481328739686,0.199703461390198,0.657525135904757,"None"
"CELF2",0.0861594654129386,8.98480691537784,0.45342179795965,0.505204006186061,"None"
