"","logFC","logCPM","F","PValue","Group"
"FGR",-0.139943313774038,8.75031443659672,1.22464328089399,0.276933032143896,"None"
"CD99",0.305786138893914,10.1337093368877,8.66208748790939,0.00609265108049505,"None"
"CFLAR",-0.0403390367773918,8.48018631639799,0.100569899076131,0.75326477758654,"None"
"ARF5",0.01772056127277,8.22039244492848,0.0336024370677589,0.855744221010224,"None"
"SLC25A5",-0.179877226268935,8.8002542220292,3.17084615317111,0.0847292203930744,"None"
"ITGAL",0.353458889289465,8.28353228986725,5.97351587921484,0.0204177760350609,"None"
"MATK",-0.252859401668311,9.38374786751764,10.6970674185632,0.00262470167950796,"Down"
"PSMB1",-0.0444328551404417,8.42565552784674,0.249782745733658,0.768622170647918,"None"
"IL32",0.0230338035705995,10.4041941939356,0.00357957792931381,0.95279650769271,"None"
"CSDE1",0.167590546389384,8.29386621344845,2.20705274994642,0.147442350576106,"None"
"TRAF3IP3",-0.182647590637117,8.75714786855524,1.76594579856882,0.193546976560203,"None"
"IDS",0.294162155257015,8.04412502914647,7.34603076257457,0.0124779604888105,"None"
"FYN",-0.164931109014367,9.53514196109333,2.74822665801707,0.107411237730643,"None"
"TYROBP",0.00569245357583078,11.2411649632896,0.00584358739768014,0.939555746380842,"None"
"WAS",-0.0147627116684486,8.59299699738763,0.0311680766439981,0.989124320558202,"None"
"CD74",-0.87926606444802,10.5235108930569,31.6913156033092,4.3652765384e-06,"Down"
"RUNX3",0.124426009509469,9.52250254865497,1.71225164141862,0.444116395292128,"None"
"VIM",0.305327422526003,9.51028979646911,4.78489440512682,0.0364799703629317,"None"
"PRKCH",-0.00754312905581324,9.29269392049129,0.0050495392131918,0.94380464834185,"None"
"SH2D2A",-0.291418839608512,8.55371967694193,5.45609178612706,0.0261178145075819,"None"
"TMSB10",0.0586736088597828,12.6097014278595,0.838163170279357,0.366963024463229,"None"
"LCP2",-0.124257184668286,8.75525574242958,1.2021329203304,0.281308576946505,"None"
"HSPA5",0.166561401322924,9.18369721671296,1.26764619307628,0.268962641195981,"None"
"CELF2",-0.00839331848222138,8.87891474340662,0.00381609042158539,0.951137472031952,"None"
"CYBA",0.05163209682006,11.3245154336777,0.562245226438972,0.458988828169081,"None"
"FOXN3",0.0688632826090739,8.41666679143297,0.276654067360342,0.602631393741293,"None"
"THRAP3",-0.0806772942619258,8.20569141897726,0.601295642921666,0.460611205549644,"None"
