"","CD8T_V_gene_fam","Cluster","value"
"1","TRBV1","None",1498
"2","TRBV2","None",1738
"3","TRBV3","None",196
"4","TRBV4","None",514
"5","TRBV5","None",475
"6","TRBV6","None",772
"7","TRBV7","None",1024
"8","TRBV9","None",317
"9","TRBV1","CD8T_LOMGlow_1",280
"10","TRBV2","CD8T_LOMGlow_1",287
"11","TRBV3","CD8T_LOMGlow_1",36
"12","TRBV4","CD8T_LOMGlow_1",91
"13","TRBV5","CD8T_LOMGlow_1",114
"14","TRBV6","CD8T_LOMGlow_1",123
"15","TRBV7","CD8T_LOMGlow_1",149
"16","TRBV9","CD8T_LOMGlow_1",63
"17","TRBV1","CD8T_LOMGlow_2",7
"18","TRBV2","CD8T_LOMGlow_2",32
"19","TRBV3","CD8T_LOMGlow_2",5
"20","TRBV4","CD8T_LOMGlow_2",13
"21","TRBV5","CD8T_LOMGlow_2",6
"22","TRBV6","CD8T_LOMGlow_2",45
"23","TRBV7","CD8T_LOMGlow_2",3
"24","TRBV9","CD8T_LOMGlow_2",0
