"Valpha7.2","Jalpha33","TCR_Clonal","TCRVB_fam","Freq","clonalAndAlpha"
FALSE,FALSE,FALSE,"TRBV1",0.036036036036036,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV1",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV1",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV1",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV1",0.027027027027027,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV1",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV1",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV1",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV2",0.0900900900900901,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV2",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV2",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV2",0.036036036036036,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV2",0.117117117117117,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV2",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV2",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV2",0.045045045045045,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV3",0.018018018018018,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV3",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV3",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV3",0.00900900900900901,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV3",0.00900900900900901,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV3",0.00900900900900901,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV3",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV3",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV4",0.045045045045045,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV4",0.00900900900900901,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV4",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV4",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV4",0.036036036036036,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV4",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV4",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV4",0.027027027027027,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV5",0.045045045045045,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV5",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV5",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV5",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV5",0.00900900900900901,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV5",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV5",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV5",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV6",0.162162162162162,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV6",0.018018018018018,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV6",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV6",0.108108108108108,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV6",0.0720720720720721,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV6",0.00900900900900901,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV6",0.00900900900900901,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV6",0.027027027027027,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV7",0.00900900900900901,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV7",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV7",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV7",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV7",0.018018018018018,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV7",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV7",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV7",0,"Clonal_MAIT"
