,eomgCtrlP,lomgCtrlP,eomgLomgP
B_EOMGhigh_1,0.013846203,1,0.000630354
B_EOMGhigh_2,0.003490435,1,0.00584209
B_EOMGhigh_3,0.000868463,1,0.016715622
B_EOMGlow_1,0.000868463,1,0.000338659
B_EOMGlow_2,0.00106808,1,0.000147502
B_LOMGhigh_1,1,0.085256918,0.054729349
B_LOMGhigh_2,1,0.510511836,0.439007849
B_LOMGlow_1,1,3.46E-05,0.000995306
B_LOMGlow_2,1,5.36E-05,0.001152706
B_LOMGlow_3,1,0.000152941,4.34E-05
CD4T_EOMGhigh_1,0.524786728,1,0.001231241
CD4T_EOMGhigh_2,0.168148717,1,0.001570961
CD4T_EOMGhigh_3,0.001315548,1,0.0343704
CD4T_EOMGhigh_4,0.007101057,1,0.014951531
CD4T_EOMGlow_1,0.016193587,1,0.006611819
CD4T_EOMGlow_2,0.00238782,1,0.000995306
CD4T_EOMGlow_3,0.0003625,1,0.000288232
CD4T_EOMGlow_4,0.021922771,1,0.028160626
CD4T_LOMGhigh_1,1,0.047866574,0.029122091
CD4T_LOMGhigh_2,1,6.64E-05,3.61E-05
CD4T_LOMGlow_1,1,0.000594857,0.003064431
CD4T_LOMGlow_2,1,8.22E-05,0.000738066
CD4T_LOMGlow_3,1,1.39E-05,2.06E-05
CD8T_EOMGhigh_1,0.081449017,1,0.097891344
CD8T_EOMGhigh_2,0.050143873,1,0.172882047
CD8T_EOMGhigh_3,0.000181237,1,0.000543389
CD8T_EOMGlow_1,0.001315548,1,0.000207655
CD8T_EOMGlow_2,0.000181237,1,0.000175777
CD8T_EOMGlow_3,8.77E-05,1,5.20E-05
CD8T_LOMGhigh_1,1,0.00172169,0.007469881
CD8T_LOMGhigh_2,1,0.000594857,0.000738066
CD8T_LOMGhigh_3,1,0.000714744,0.001152706
CD8T_LOMGhigh_4,1,0.073616128,0.059670521
CD8T_LOMGlow_1,1,0.000124653,0.000995306
CD8T_LOMGlow_2,1,4.31E-05,8.86E-05
CD8T_LOMGlow_3,1,0.000187156,0.000125265
TCRgd_EOMGhigh_1,0.257412458,1,0.005739386
TCRgd_EOMGhigh_2,0.025377403,1,0.000261537
TCRgd_EOMGhigh_3,0.025377403,1,0.00266788
TCRgd_EOMGlow_1,0.287896524,1,0.119066516
TCRgd_EOMGlow_2,0.291144433,1,0.238106958
TCRgd_EOMGlow_3,0.020101957,1,0.004452262
TCRgd_EOMGlow_4,0.002772757,1,0.027102111
TCRgd_EOMGlow_5,0.053777248,1,0.006821662
TCRgd_LOMGhigh_1,1,0.02023909,0.058963765
TCRgd_LOMGhigh_2,1,0.023976973,0.024087849
TCRgd_LOMGhigh_3,1,0.015337661,0.017637015
TCRgd_LOMGlow_1,1,0.00010133,0.001332611
TCRgd_LOMGlow_2,1,0.001451573,0.000105458
TCRgd_LOMGlow_3,1,6.63E-05,0.00202795
TCRgd_LOMGlow_4,1,0.0038887,0.006611819
NK_EOMGhigh_1,0.713454172,1,0.279457435
NK_EOMGhigh_2,0.834142868,1,0.634844619
NK_EOMGhigh_3,0.113266382,1,0.008397586
NK_EOMGhigh_4,0.909879024,1,0.31794184
NK_EOMGlow_1,0.000142804,1,0.000633861
NK_LOMGhigh_1,1,0.002403446,0.000857859
NK_LOMGhigh_2,1,0.173133856,0.779149204
NK_LOMGlow_1,1,0.007127646,0.227957217
NK_LOMGlow_2,1,0.000228426,0.005152925
NK_LOMGlow_3,1,0.000124653,0.005152925
ILC_EOMGhigh_1,0.001732202,1,0.000121803
ILC_EOMGlow_1,0.039123712,1,0.180331476
ILC_LOMGlow_1,1,0.00278792,0.000718299
ILC_LOMGlow_2,1,0.080536456,0.000408044
ILC_LOMGlow_3,1,0.001179242,0.001659479
