,eomgCtrlP,lomgCtrlP,eomgLomgP
B_EOMGhigh_1,0.001349095,1,3.86E-05
B_EOMGhigh_2,0.310464072,1,0.000985045
B_EOMGlow_1,0.00086793,1,0.00045121
B_EOMGlow_2,0.001334139,1,0.000290777
B_LOMGhigh_1,1,0.093778443,0.08542103
B_LOMGhigh_2,1,0.634042805,0.426331876
B_LOMGlow_1,1,1.76E-05,0.002870505
B_LOMGlow_2,1,1.74E-05,0.006476922
B_LOMGlow_3,1,1.76E-05,0.000160431
B_LOMGlow_4,1,2.77E-05,4.38E-05
CD4T_EOMGhigh_1,0.108780237,1,0.002169843
CD4T_EOMGhigh_2,0.333220339,1,0.002841518
CD4T_EOMGhigh_3,0.372954998,1,0.001063841
CD4T_EOMGhigh_4,0.486636749,1,0.003924497
CD4T_EOMGhigh_5,0.25824127,1,0.000352799
CD4T_EOMGlow_1,0.018898542,1,0.027015427
CD4T_EOMGlow_2,0.001349095,1,0.008405225
CD4T_EOMGlow_3,0.000691933,1,0.000134075
CD4T_LOMGhigh_1,1,0.149699751,0.157947972
CD4T_LOMGhigh_2,1,0.000392196,9.12E-05
CD4T_LOMGlow_1,1,0.000493794,0.001599633
CD4T_LOMGlow_2,1,0.000124653,0.000322261
CD4T_LOMGlow_3,1,0.000493794,0.000736292
CD4T_LOMGlow_4,1,2.21E-05,0.000134075
CD8T_EOMGhigh_1,0.186689013,1,0.159112419
CD8T_EOMGhigh_2,0.030106251,1,0.148118672
CD8T_EOMGhigh_3,0.000209605,1,0.000626666
CD8T_EOMGlow_1,0.004599711,1,0.000228304
CD8T_EOMGlow_2,4.37E-05,1,7.73E-05
CD8T_LOMGhigh_1,1,0.002828799,0.015436402
CD8T_LOMGhigh_2,1,0.000278066,0.000160431
CD8T_LOMGhigh_3,1,0.272188702,0.208148551
CD8T_LOMGlow_1,1,0.000124653,0.000626666
CD8T_LOMGlow_2,1,2.77E-05,6.41E-05
TCRgd_EOMGhigh_1,0.111260137,1,0.001147575
TCRgd_EOMGhigh_2,0.002536456,1,1.02E-05
TCRgd_EOMGhigh_3,0.018898542,1,0.000369109
TCRgd_EOMGlow_1,0.020188315,1,0.00092078
TCRgd_LOMGhigh_1,1,0.003867707,0.012827338
TCRgd_LOMGhigh_2,1,0.002812408,0.008405225
TCRgd_LOMGlow_1,1,4.31E-05,5.30E-05
TCRgd_LOMGlow_2,1,0.000277458,1.99E-05
TCRgd_LOMGlow_3,1,1.70E-05,0.000109617
TCRgd_LOMGlow_4,1,0.00015149,0.000269616
NK_EOMGhigh_1,0.783879208,1,0.432019054
NK_EOMGhigh_2,0.829249344,1,0.233416652
NK_EOMGhigh_3,0.460561609,1,0.089255324
NK_EOMGhigh_4,0.863060577,1,0.290916238
NK_EOMGlow_1,0.00026834,1,0.001179905
NK_LOMGhigh_1,1,0.002828799,0.000863354
NK_LOMGhigh_2,1,0.168752957,0.813902574
NK_LOMGlow_1,1,0.034512521,0.129828178
NK_LOMGlow_2,1,0.436269472,0.443332019
NK_LOMGlow_3,1,0.000493794,0.001179905
NK_LOMGlow_4,1,0.000227912,0.003795547
NK_LOMGlow_5,1,0.002604095,0.175200275
ILC_EOMGhigh_1,0.55256223,1,0.139508157
ILC_EOMGlow_1,1,1,0.213639453
ILC_LOMGlow_1,1,0.000771738,0.000505087
ILC_LOMGlow_2,1,0.096150114,0.000292362
ILC_LOMGlow_3,1,0.000514348,0.001470598
