"","eomgCtrlP","lomgCtrlP","eomgLomgP","EOMG_to_LOMG"
"DNT",0.641570281901936,0.0433654324137713,0.0130034370315195,"greater"
"TCRgd_CM_CD161",0.775860568895905,0.0484375375131373,0.00430279099747189,"greater"
"TCRgd_EM_CD38",0.244358936592635,0.0271949132209537,0.0215629382746374,"greater"
"TCRgd_EM_CD161",0.434532945244019,0.0212226189128895,0.00172670872627552,"greater"
"TCRgd_naive_CD25",0.265522550732906,0.0240534139442597,0.0484940848752586,"less"
"CD4T_EM_CD161",0.939374512059631,0.00332091656451281,0.0130034370315195,"greater"
"CD4T_naive_CD38",0.9468968396592,0.0387310680397185,0.0388416405494673,"greater"
"CD8T_CM_CCR4",0.0160570896539537,0.807747685309865,0.0434418396304241,"less"
"CD8T_CM_CD25",0.0045997113266712,0.72777689294839,0.00235980938472588,"less"
"CD8T_CM_CD38",0.983942910346046,0.00950446165927082,0.034662056929675,"greater"
"CD8T_EM_CD25",0.0045997113266712,0.552413557592377,0.0243503458115954,"less"
"CD8T_EM_CD38",0.460606027292368,0.0212226189128895,0.0147993899101529,"greater"
"CD8T_EM_CD161",0.9468968396592,0.0387310680397185,0.00759935746069923,"greater"
"CD8T_naive",0.953659338373846,0.0345084090014667,0.00275041675593937,"greater"
"CD8T_naive_CD7",0.953659338373846,0.0345084090014667,0.00275041675593937,"greater"
"CD8T_naive_CD27",0.953659338373846,0.0271949132209537,0.00202061802227126,"greater"
"CD8T_naive_CD31",0.953659338373846,0.0345084090014667,0.00275041675593937,"greater"
"CD8T_naive_CD38",0.96510693330615,0.0012206808897033,0.00202061802227126,"greater"
"CD8T_naive_CD161",0.939374512059631,0.00614910853061713,0.00371393037161547,"greater"
"ILC1",0.689585236516538,0.0094636118017858,0.0383085798871004,"greater"
