"","eomgLomgP"
"B_EOMGhigh_1",1
"B_EOMGhigh_2",1
"B_EOMGhigh_3",1
"B_EOMGlow_1",1
"B_EOMGlow_2",1
"B_LOMGhigh_1",0.864018488065554
"B_LOMGhigh_2",1
"B_LOMGlow_1",0.27620504615135
"B_LOMGlow_2",0.030607317477301
"B_LOMGlow_3",1
"CD4T_EOMGhigh_3",1
"CD4T_EOMGlow_1",0.674310776761804
"CD4T_EOMGlow_2",0.136245241734976
"CD4T_EOMGlow_3",0.0226939645193972
"CD4T_EOMGlow_4",1
"CD4T_LOMGhigh_1",1
"CD4T_LOMGhigh_2",0.576774701561705
"CD4T_LOMGlow_1",1
"CD4T_LOMGlow_2",1
"CD4T_LOMGlow_3",0.200693582855883
"CD8T_EOMGhigh_1",0.626557183304818
"CD8T_EOMGhigh_2",1
"CD8T_EOMGlow_1",1
"CD8T_EOMGlow_2",1
"CD8T_EOMGlow_3",1
"CD8T_LOMGhigh_1",0.980673628388336
"CD8T_LOMGhigh_2",0.697410118455249
"CD8T_LOMGhigh_3",1
"CD8T_LOMGhigh_4",1
"CD8T_LOMGlow_1",0.0532915847874438
"CD8T_LOMGlow_2",0.0119342210822872
"CD8T_LOMGlow_3",1
"TCRgd_EOMGhigh_1",0.238837511992952
"TCRgd_EOMGhigh_2",1
"TCRgd_EOMGhigh_3",1
"TCRgd_LOMGhigh_1",1
"TCRgd_LOMGhigh_2",1
"TCRgd_LOMGlow_1",0.474152550866101
"TCRgd_LOMGlow_3",1
"TCRgd_LOMGlow_4",1
"NK_EOMGhigh_1",1
"NK_EOMGhigh_2",1
"NK_EOMGhigh_3",1
"NK_EOMGhigh_4",1
"NK_EOMGlow_1",0.00275467509673836
"NK_LOMGhigh_1",1
"NK_LOMGlow_1",1
"NK_LOMGlow_2",1
