"","logFC","logCPM","F","PValue","FDR","Population"
"GZMH",-9.37851371805766,9.02723201826337,190.927682743834,1.83491299520717e-14,2.60891265864001e-12,"CD8T_LOMGlow_1"
"CST7",-6.08145266421033,9.50392652850843,218.40209807287,3.18954404174274e-15,9.9768937625713e-13,"CD8T_LOMGlow_1"
"NKG7",-5.59212324944352,10.8793240991755,225.529089260354,2.09135084445829e-15,8.1771818018319e-13,"CD8T_LOMGlow_1"
"GZMA",-4.69684324669062,9.23901179476569,180.245273805397,3.66597333808486e-14,4.09541592911766e-12,"CD8T_LOMGlow_1"
"CCL5",-4.05418942457761,11.4230322768768,113.076831897771,1.26240011224783e-11,5.641125073016e-10,"CD8T_LOMGlow_1"
"MYO1F",-3.72130082409218,7.27441933096872,198.360836866169,1.2766695262974e-15,7.86770508213716e-13,"CD8T_LOMGlow_1"
"ANXA2",-3.3803292849413,7.46355286083143,130.330783647043,1.15676625600613e-12,8.61515440187426e-11,"CD8T_LOMGlow_1"
"PRF1",-3.3666034228842,8.65200291771886,113.199357768922,1.10598583307968e-11,5.2417025543534e-10,"CD8T_LOMGlow_1"
"EFHD2",-3.31846991659827,8.4368405394557,130.515944222243,1.77547991139295e-12,1.20732633974721e-10,"CD8T_LOMGlow_1"
"KLRG1",-3.26144566220418,7.92862588031429,182.101519090281,9.01983205194139e-15,1.58863822067325e-12,"CD8T_LOMGlow_1"
"LGALS1",-3.24371145657518,8.24080037768959,96.1805706434395,7.44817244426742e-11,2.32978834056685e-09,"CD8T_LOMGlow_1"
"GZMK",-3.18859963428959,8.87845997302564,69.6716053682186,2.82474965022394e-09,5.42782542992288e-08,"CD8T_LOMGlow_1"
"ACTN4",-2.56501939073121,7.71016392380748,176.42718638839,4.77379417061257e-15,1.24436901380634e-12,"CD8T_LOMGlow_1"
"ITGB1",-2.48831777421804,8.24098800743985,111.391533985362,9.12695717664718e-12,4.46080032008631e-10,"CD8T_LOMGlow_1"
"AHNAK",-2.42405099955117,9.03181198112323,201.948030002404,1.50915059120278e-15,7.86770508213716e-13,"CD8T_LOMGlow_1"
"LYAR",-2.30846429710008,8.23082968548212,119.836718719433,2.89742678811681e-12,1.74291365254411e-10,"CD8T_LOMGlow_1"
"DUSP2",-2.19463376780843,8.93929692801106,67.1693505507028,3.88336890635329e-09,7.14539878769005e-08,"CD8T_LOMGlow_1"
"S100A11",-2.13567175356962,8.30047510822553,159.359443723794,2.40301068702375e-14,3.13192392875428e-12,"CD8T_LOMGlow_1"
"ANXA1",-2.05434257572671,9.36914602579148,89.650669410684,1.47835026444188e-10,4.05638563787211e-09,"CD8T_LOMGlow_1"
"CD248",2.02079517165201,6.40471127620894,47.173087766092,1.21265985965348e-07,1.27288591979734e-06,"CD8T_LOMGlow_1"
"ACTN1",1.95034087252699,7.70475883014718,45.6630467527279,1.78641158636814e-07,1.74621732567486e-06,"CD8T_LOMGlow_1"
"S100A4",-1.92518815452762,11.0658763291394,290.583651141502,7.81271820512963e-19,1.22190912728227e-15,"CD8T_LOMGlow_1"
"CCR7",1.83846425712104,9.29448678833274,41.5598660964074,4.2342508888446e-07,3.57965858927187e-06,"CD8T_LOMGlow_1"
"CD99",-1.81156559827029,9.39507478413461,172.954299070962,6.35711670281222e-15,1.42036150331404e-12,"CD8T_LOMGlow_1"
"AIF1",1.68924132808371,7.42211118041294,25.7799984358189,1.92538484101649e-05,9.93829007046137e-05,"CD8T_LOMGlow_1"
"CRIP1",-1.6462754918561,9.7947829810814,127.596996750261,8.2818523268798e-13,6.47640851962001e-11,"CD8T_LOMGlow_1"
"TRABD2A",1.61419758303228,7.74136288107411,70.5268547695873,1.6712397565871e-09,3.53218780986787e-08,"CD8T_LOMGlow_1"
"CTSC",-1.60743466700471,7.92064725367106,94.061288899029,2.28232489532674e-11,8.70623447875858e-10,"CD8T_LOMGlow_1"
"SAMD3",-1.59399478625497,8.0142713111633,56.5737455722842,1.72217727834834e-08,2.73608000805127e-07,"CD8T_LOMGlow_1"
"KLF6",-1.55222247225999,8.95848162281696,41.9439884937094,3.66989763062894e-07,3.17111596370368e-06,"CD8T_LOMGlow_1"
"CERS6",1.49575562315093,6.37003768124905,29.9320208956958,5.82893079765411e-06,3.47956021661489e-05,"CD8T_LOMGlow_1"
"LEF1",1.49509296780527,9.77744981553701,45.4620788956338,1.84641756135506e-07,1.79366277388777e-06,"CD8T_LOMGlow_1"
"SPINT2",1.47965931974261,6.65926396912419,43.8396467126831,1.96658169676195e-07,1.87544742300956e-06,"CD8T_LOMGlow_1"
"CD74",-1.45102445702125,10.3982669027675,160.738105408718,9.1417800422374e-15,1.58863822067325e-12,"CD8T_LOMGlow_1"
"MAL",1.43652595949548,7.87561415871226,26.5975811577926,1.52626908961766e-05,8.06529346911101e-05,"CD8T_LOMGlow_1"
"SRGN",-1.42463828642782,9.35943386463253,74.8425141086769,7.51869966576525e-10,1.89665262536401e-08,"CD8T_LOMGlow_1"
"SYNE1",-1.41329263446503,7.94809737431008,87.1875483394731,4.39707124632856e-11,1.43271238109539e-09,"CD8T_LOMGlow_1"
"BACH2",1.41103209730692,8.33868420530685,48.7131105264018,8.78202661006274e-08,1.0222369712678e-06,"CD8T_LOMGlow_1"
"FAM117B",1.40665445989282,6.8083470225307,68.9867941140025,1.04123531609537e-09,2.3601333831495e-08,"CD8T_LOMGlow_1"
"TXN",-1.35402600295593,7.55857788324293,79.25509751901,1.19496626223627e-10,3.39804951661367e-09,"CD8T_LOMGlow_1"
"IL10RA",-1.35311574118768,8.16062736041476,117.990696347558,3.75918262898598e-13,3.09440085880741e-11,"CD8T_LOMGlow_1"
"ARPC5L",-1.33619412424517,7.65685801317324,101.036269393526,3.34825379074737e-12,1.87023890311746e-10,"CD8T_LOMGlow_1"
"CAPN2",-1.31950153435199,7.66495262114384,91.2655925103323,1.34001903428472e-11,5.82163824894806e-10,"CD8T_LOMGlow_1"
"LDLRAP1",1.31663993449014,8.1984857143306,53.0890722538633,3.27314033573036e-08,4.37537733767717e-07,"CD8T_LOMGlow_1"
"NELL2",1.31579494342193,8.8708021008834,37.2230055804561,1.03807150003195e-06,7.9585481669116e-06,"CD8T_LOMGlow_1"
"SATB1",1.30578972104513,7.74689376392901,61.6767229964439,5.10230693802297e-09,9.17242304720452e-08,"CD8T_LOMGlow_1"
"PPP2R5C",-1.30110507244424,8.61711092587494,140.401632187049,2.943313172894e-14,3.54103215569709e-12,"CD8T_LOMGlow_1"
"PASK",1.29279718534269,7.10523765041861,19.5914294364833,0.000118396935429572,0.000479722297958161,"CD8T_LOMGlow_1"
"RCAN3",1.28384746437545,8.29687271514633,42.5496130432386,3.00363029902154e-07,2.70837156481406e-06,"CD8T_LOMGlow_1"
"SSBP4",-1.26407126743392,7.8747818137267,147.223382961611,1.44509031296164e-14,2.260121249472e-12,"CD8T_LOMGlow_1"
"TXK",1.25788973962213,7.77702078067772,21.4645425740182,6.64471252707751e-05,0.000283943453342875,"CD8T_LOMGlow_1"
"SYNE2",-1.25359878107579,8.57006320542848,86.8915022339094,4.58554097649969e-11,1.46362981372357e-09,"CD8T_LOMGlow_1"
"FLNA",-1.2442318021418,8.83547263733776,103.959143891734,3.21912414055436e-12,1.86470746512112e-10,"CD8T_LOMGlow_1"
"ANXA5",-1.24324629625105,7.49744860096069,43.573782781616,1.61519467224009e-07,1.61933619704071e-06,"CD8T_LOMGlow_1"
"CD81",-1.23182986409096,9.04322684353118,100.905064722205,5.51017293500043e-12,2.87263682344689e-10,"CD8T_LOMGlow_1"
"SNX9",1.21221712131973,6.7232079160412,20.7216561429122,8.0912327296845e-05,0.000341096711299907,"CD8T_LOMGlow_1"
"ABLIM1",1.2023677043871,8.65889155919125,70.410389481025,1.0026720354807e-09,2.3405657664057e-08,"CD8T_LOMGlow_1"
"IL6ST",1.19495545943826,7.08445211135612,25.9668941280178,1.72292327008631e-05,8.95640675223836e-05,"CD8T_LOMGlow_1"
"MYO1G",-1.18867379060791,7.82509437669549,79.771066048277,8.0541214056641e-11,2.46535160936787e-09,"CD8T_LOMGlow_1"
"SERINC5",1.16008688618783,7.80670989624851,30.3426021390243,5.24068924539382e-06,3.17691394565734e-05,"CD8T_LOMGlow_1"
"REEP5",-1.15322754160314,7.3834612500371,86.2852975739611,2.83256075734902e-11,1.05479167249854e-09,"CD8T_LOMGlow_1"
"CD55",1.1515250600591,8.57819192357069,25.3272216350787,2.12675361868841e-05,0.000107994891546386,"CD8T_LOMGlow_1"
"ITGA6",1.14901415676968,6.90130598663475,54.4712700439588,1.22386880540987e-08,2.05820517382908e-07,"CD8T_LOMGlow_1"
"NAA16",1.13772171311429,6.8886188513367,48.4436602798699,4.75332405769417e-08,5.90015779859816e-07,"CD8T_LOMGlow_1"
"CHMP7",1.13142409372866,6.9028393609662,46.302863870684,7.74987013837585e-08,9.18242189122714e-07,"CD8T_LOMGlow_1"
"PIK3IP1",1.12468797890365,8.9476219844976,48.3445606620233,7.70016268123787e-08,9.18242189122714e-07,"CD8T_LOMGlow_1"
"TESPA1",1.12093979676164,7.89604522512919,43.5009137716631,1.87845148305461e-07,1.81351735771445e-06,"CD8T_LOMGlow_1"
"MYC",1.11735559493679,7.53227399892675,24.147233787765,2.89616404902491e-05,0.000141109052108254,"CD8T_LOMGlow_1"
"NDFIP1",1.11527432242642,9.35830041605732,56.9829906069756,1.29086743121763e-08,2.14778368343018e-07,"CD8T_LOMGlow_1"
"MAML2",1.1142255359009,8.55213066107089,54.2468971767895,1.987896422699e-08,2.96101905247737e-07,"CD8T_LOMGlow_1"
"OXNAD1",1.11341215559852,8.6022633086249,31.6111609086594,3.85997396950412e-06,2.45406475134327e-05,"CD8T_LOMGlow_1"
