"Gene","Expression_compared_to_ref"
"AQP3","high"
"FKBP11","high"
"OSTC","high"
"XBP1","high"
"STT3A","high"
"SRPRB","high"
"SEC61A1","high"
"P4HB","high"
"SPCS3","high"
"SSR4","high"
"MGAT2","high"
"CERK","high"
"SLC39A9","high"
"DEF8","high"
"ARFGAP3","high"
"GANC","low"
"MX2","low"
"FBXO31","low"
"ZNF44","low"
"HIVEP3","low"
"ZNF235","low"
"STX2","low"
"ZMYM1","low"
"NELFCD","low"
"TCF7","low"
"XPO6","low"
"GPR174","low"
"ULK3","low"
"TRAF6","low"
"PAK1","low"
"SUCLG2","low"
"PCNT","low"
"GCSAM","low"
"CYTH4","low"
"HDAC5","low"
"SSBP2","low"
"PCED1B","low"
"GMFB","low"
"RNF138","low"
"RAB4B","low"
"NLRC5","low"
"HSPH1","low"
"TNIP2","low"
"MAML2","low"
"FIG4","low"
"BIRC2","low"
"PRMT2","low"
"EEA1","low"
"RINL","low"
"SESN3","low"
"JADE2","low"
"N4BP2L1","low"
"WDPCP","low"
"USP24","low"
"RNASEH2B","low"
"ASPSCR1","low"
"TUBA4A","low"
"ARFGEF1","low"
"CTSS","low"
"SNX29","low"
"HLA-DRB1","low"
"DIAPH2","low"
"TERF2","low"
"MTSS1","low"
"PPP1R18","low"
"CIB1","low"
"HLA-DQB1","low"
"GRINA","low"
"TAB2","low"
"MBP","low"
"SMYD3","low"
"RNF38","low"
"UGP2","low"
"SUZ12","low"
"RNPEPL1","low"
"RNF141","low"
"CEP120","low"
"RNGTT","low"
"ATM","low"
"SMAP2","low"
"STIM2","low"
"MICU2","low"
"PIK3R1","low"
"BTBD9","low"
"HLA-DRA","low"
"BAG1","low"
"SELL","low"
"SP110","low"
"TES","low"
"LAMTOR4","low"
"ARL6IP5","low"
"MPHOSPH8","low"
"NSMAF","low"
"XPO1","low"
"STAT3","low"
"FAM120B","low"
"BCAS4","low"
"VAMP2","low"
"TBC1D5","low"
"MYO9B","low"
"TBC1D22A","low"
"RABGAP1L","low"
"ACAP2","low"
"TBRG1","low"
"ST6GAL1","low"
"DUSP22","low"
"FUS","low"
"KDM4C","low"
"PRKCB","low"
"FLOT2","low"
"ARHGAP30","low"
"FNBP1","low"
"ETS1","low"
"SF3A1","low"
"REL","low"
"KIF2A","low"
"ANKRD44","low"
"KLF2","low"
"CMTM7","low"
"MAP4K4","low"
"ATP2B1","low"
"SNRPA","low"
"STK17A","low"
"TNRC6B","low"
"SNX3","low"
"APBB1IP","low"
"PNPLA2","low"
"PSIP1","low"
"RAP1A","low"
"EVL","low"
"PNRC1","low"
"KTN1","low"
"AKAP13","low"
"TMPO","low"
"COMMD6","low"
"ARHGEF1","low"
"PTPRC","low"
"CYFIP2","low"
"FXYD5","low"
"PRR13","low"
"RNASEK","low"
"CD37","low"
"TOMM7","low"
"WAS","low"
"COTL1","low"
"ZBTB20","low"
"NSA2","low"
"PACS1","low"
"ARGLU1","low"
"STK4","low"
"SP100","low"
"IKZF1","low"
"PPP3CC","low"
"YPEL3","low"
"DDX5","low"
"SH3BGRL","low"
"HLA-E","low"
"MSN","low"
"ACTR2","low"
"IQGAP1","low"
"MTPN","low"
"HMGN1","low"
"MOB1A","low"
"EVI2B","low"
"SH3BGRL3","low"
"MYL12B","low"
"CALM2","low"
"TCEA1","low"
"GNAI2","low"
"CD52","low"
"ANP32B","low"
"FTL","low"
"MBNL1","low"
"ARPC3","low"
"SET","low"
"OAZ1","low"
