"","CD8T_LOMGlow_1","CD8T_LOMGlow_2","NK_EOMGlow_1"
"ABLIM1",1.2023677043871,NA,NA
"ACTN1",1.95034087252699,NA,NA
"ACTN4",-2.56501939073121,NA,NA
"AHNAK",-2.42405099955117,NA,NA
"AIF1",1.68924132808371,NA,NA
"ALOX5AP",-0.882529642542948,1.19435591258155,NA
"ANXA1",-2.05434257572671,NA,NA
"ANXA2",-3.3803292849413,NA,NA
"ANXA5",-1.24324629625105,NA,NA
"APBB1",1.06830567717727,NA,NA
"AQP3",NA,1.48322657524998,NA
"ARPC5L",-1.33619412424517,NA,NA
"BACH2",1.41103209730692,NA,NA
"CAPN2",-1.31950153435199,NA,NA
"CBX3",NA,-1.07245331172444,NA
"CCL5",-4.05418942457761,NA,NA
"CCR7",1.83846425712104,NA,NA
"CD248",2.02079517165201,NA,NA
"CD55",1.1515250600591,NA,NA
"CD74",-1.45102445702125,NA,-0.87926606444802
"CD81",-1.23182986409096,NA,NA
"CD8A",-0.321426121274301,-1.20453194527534,NA
"CD8B",0.595543858003022,-3.48955523422096,NA
"CD99",-1.81156559827029,NA,NA
"CEBPD",NA,3.94959115064445,NA
"CERS6",1.49575562315093,NA,NA
"CHMP7",1.13142409372866,NA,NA
"CISH",1.00526213595189,NA,NA
"CMC1",NA,NA,-1.19730155452215
"COTL1",NA,-2.09633501359055,NA
"CRIP1",-1.6462754918561,NA,-0.628376259957418
"CST7",-6.08145266421033,NA,NA
"CTSC",-1.60743466700471,NA,NA
"CTSW",-1.10348020589384,NA,NA
"DNMT3A",1.05892758172998,NA,NA
"DOCK8",NA,-1.02387477375132,NA
"DUSP2",-2.19463376780843,1.18296550796445,NA
"EFHD2",-3.31846991659827,NA,NA
"ERN1",NA,2.08259338150956,NA
"FAM117B",1.40665445989282,NA,NA
"FLNA",-1.2442318021418,NA,NA
"FOXP1",0.993869685197327,-1.77376002573801,NA
"GBP5",NA,1.44951381169159,NA
"GSTP1",-0.659768609132612,-1.17870848713356,NA
"GZMA",-4.69684324669062,NA,NA
"GZMH",-9.37851371805766,-3.45131710565869,0.725222073502846
"GZMK",-3.18859963428959,1.45595030147162,NA
"H1-3",NA,-1.87428953892157,NA
"HMGB2",-1.08338058184724,NA,NA
"HSPB1",0.715518061198825,-1.28574192553474,NA
"IL10RA",-1.35311574118768,NA,NA
"IL6ST",1.19495545943826,NA,NA
"IL7R",NA,1.10711804106035,NA
"ITGA6",1.14901415676968,NA,NA
"ITGB1",-2.48831777421804,NA,NA
"ITGB2",-1.04123663782549,NA,NA
"ITK",0.669133079170535,-1.52192842019661,NA
"KLF6",-1.55222247225999,NA,NA
"KLRB1",NA,3.50841294187596,NA
"KLRG1",-3.26144566220418,1.24264486918399,NA
"KLRK1",NA,-1.26841011142273,NA
"LDLRAP1",1.31663993449014,NA,NA
"LEF1",1.49509296780527,NA,NA
"LGALS1",-3.24371145657518,-2.60117469690428,NA
"LYAR",-2.30846429710008,NA,NA
"MAL",1.43652595949548,NA,NA
"MAML2",1.1142255359009,NA,NA
"MYC",1.11735559493679,NA,NA
"MYO1F",-3.72130082409218,NA,NA
"MYO1G",-1.18867379060791,NA,0.460034735362193
"NAA16",1.13772171311429,NA,NA
"NAP1L4",0.321402118363648,-1.15244342325206,NA
"NCR3",NA,2.70777784910964,NA
"NDFIP1",1.11527432242642,NA,NA
"NELL2",1.31579494342193,NA,NA
"NFKBIA",NA,1.19152937755711,NA
"NKG7",-5.59212324944352,NA,NA
"NOSIP",1.08101843410533,NA,NA
"OXNAD1",1.11341215559852,NA,NA
"PASK",1.29279718534269,NA,NA
"PHACTR2",NA,2.16599103464205,NA
"PIK3IP1",1.12468797890365,NA,NA
"PPP2R5C",-1.30110507244424,NA,0.508935417631864
"PRDX6",0.570527865856779,-1.05236633683555,NA
"PRF1",-3.3666034228842,NA,NA
"PRKCA",1.04611596814102,NA,NA
"PRR5",NA,1.71848825994733,NA
"RABGAP1L",-1.08888664822579,NA,NA
"RCAN3",1.28384746437545,NA,NA
"REEP5",-1.15322754160314,NA,NA
"RGS10",0.992400348060755,-1.21028592218661,NA
"RORA",-0.803356344838306,1.1602465440987,NA
"RUNX3",-1.02391822609732,NA,NA
"S100A11",-2.13567175356962,NA,NA
"S100A4",-1.92518815452762,0.723811844931066,0.586920309391371
"SAMD3",-1.59399478625497,NA,NA
"SATB1",1.30578972104513,NA,NA
"SELL",1.07993737463075,-2.16791808822091,NA
"SERINC5",1.16008688618783,NA,NA
"SLC4A10",NA,4.30649021240514,NA
"SLC9A3R1",-1.01226024956109,NA,NA
"SMPD1",1.02492161912976,NA,NA
"SNX9",1.21221712131973,NA,NA
"SPINT2",1.47965931974261,NA,NA
"SPN",-1.09243156681491,NA,NA
"SPOCK2",0.308372091888945,1.07218540238742,NA
"SRGN",-1.42463828642782,NA,NA
"SSBP4",-1.26407126743392,NA,NA
"SYNE1",-1.41329263446503,NA,NA
"SYNE2",-1.25359878107579,NA,NA
"TCF7",0.941805076749591,-1.12471492021322,NA
"TESPA1",1.12093979676164,NA,NA
"TGFBR2",1.02836290665719,-0.97074352201225,NA
"TMSB10",0.28175625105364,-1.18716457021842,NA
"TRABD2A",1.61419758303228,NA,NA
"TXK",1.25788973962213,NA,NA
"TXN",-1.35402600295593,NA,NA
"XBP1",-0.485260346485793,1.0485170754411,NA
