"","eomgCtrlP","lomgCtrlP","eomgLomgP","EOMG_to_LOMG"
"CD4T_EM_CD161",0.935672286159268,0.00388870012084593,0.0116841790766645,"greater"
"CD4T_EMRA_CD25",0.918550982541102,0.0271949132209537,0.0372500572178399,"greater"
"CD4T_EMRA_CD161",0.487631307227559,0.0484375375131373,0.0414340720811304,"greater"
"CD4T_naive_CD38",0.742535610902679,0.00282879890753218,0.0168491479770887,"greater"
"CD8T_EM_CD38",0.831791583205862,0.00824107000798394,0.0213195390862527,"greater"
"CD8T_EM_CD161",0.974622597243069,0.0240534139442597,0.0239192129500545,"greater"
"CD8T_EMRA_CD31",0.831791583205862,0.00712764567785004,0.0132236387576542,"less"
"CD8T_EMRA_CD71",0.831791583205862,0.0271949132209537,0.0213195390862527,"less"
"CD8T_EMRA_CTLA4",0.935672286159268,0.0012206808897033,0.0103058495318249,"less"
"CD8T_EMRA_KLRG1",0.908795350916368,0.00950446165927082,0.0372500572178399,"less"
"CD8T_naive_CD31",0.700954460755491,0.0484375375131373,0.0103058495318249,"greater"
"CD8T_naive_CD38",0.981126053243423,0.00454196690868716,0.00147613219875746,"greater"
"CD8T_naive_CD161",0.918550982541102,0.0109340440950654,0.0414340720811304,"greater"
"TCRgd_EM_CD161",0.846913811858417,0.0109340440950654,0.00907415570740211,"greater"
"CD56dimNonAdaptCD161pos",0.0253774027569315,0.672919553281676,0.0372500572178399,"greater"
"CD56dimCD16posCD57posNKG2CnegCD183neg",0.00419772498865713,0.995458033091313,0.0414340720811304,"less"
