"","x"
"1","BTLA"
"2","CD001c"
"3","CD001d"
"4","CD002"
"5","CD003"
"6","CD004"
"7","CD005"
"8","CD007"
"9","CD008"
"10","CD010"
"11","CD011b"
"12","CD011c"
"13","CD013"
"14","CD016"
"15","CD018"
"16","CD019"
"17","CD020"
"18","CD021"
"19","CD024"
"20","CD025"
"21","CD027"
"22","CD028"
"23","CD031"
"24","CD032"
"25","CD033"
"26","CD034"
"27","CD038"
"28","CD039"
"29","CD040"
"30","CD045RA"
"31","CD045RO"
"32","CD056"
"33","CD057"
"34","CD062L"
"35","CD064"
"36","CD069"
"37","CD070"
"38","CD071"
"39","CD080"
"40","CD086"
"41","CD090"
"42","CD103"
"43","CD117"
"44","CD123"
"45","CD127"
"46","CD141"
"47","CD161"
"48","CD163"
"49","CD185"
"50","CD194"
"51","CD195"
"52","CD196"
"53","CD244"
"54","CD278"
"55","CD279"
"56","CD303"
"57","CD314"
"58","CX3CR1"
"59","HLA-ABC"
"60","HLA-DR"
"61","IgD"
"62","KLRG1"
